,College_Name,State,City,URL_,Address,Phone_Number
10,Aptech Computer Education - Hazra,West Bengal,Kolkata,http://aptechkolkata.in/,"96-L, S.P. Mukherjee Road, First Floor, Near Jatin Das Metro, Kolkata, West Bengal 700026, India","['(033) 40731111 / ', ' 9339408422']"
11,Aptech Computer Education - Jessore Road,West Bengal,Kolkata,,"333/M/2, Jessore Road, Ground Floor, Near UCO Bank, Lake Town Branch, Kolkata, West Bengal 700089, India",[' 7890988777']
12,Attitude Management Academy - AMA - Courses,West Bengal,Kolkata,https://targetstudy.com/university/285/periyar-university/,"53-MB, Mahishbathan, Sector V, Saltlake City
, Kolkata, West Bengal 700102, India",['(033) 23678044']
13,Basu Bir Foundation - Courses,West Bengal,Kolkata,https://targetstudy.com/university/15477/sikkim-manipal-university/,"127-C, Raja S.C. Mallick Road, 2nd and 3rd Floor, Kolkata, West Bengal 700047, India","['(033) 24308049, 24308053 / ', ' 9831708385, 9432152375']"
14,Bengal Institute of Technology - Courses,West Bengal,Kolkata,https://targetstudy.com/university/372/west-bengal-university-of-technology/,"No. 1, Govt Colony, Basanti Road, Kolkata, West Bengal 700150, India","['(033) 23458004 / ', ' 9836544416, 9836544417, 9836544418, 9836544419']"
15,Binary Institute of Management and Technology - BIMT - Courses,West Bengal,Kolkata,https://targetstudy.com/university/238/punjab-technical-university/,"2 Circus Market Place, Kolkata, West Bengal 700017, India",['(033) 22801712']
16,Birla Institute of Technology - Kolkata - Courses,West Bengal,Kolkata,https://www.bitmesra.ac.in/BIT_Mesra?cid=6&pid=H,"Southend Conclave, 4th Floor, 1582 Rajdanga Main Road, Kolkata, West Bengal 700107, India","['(033) 24414542, 24414456, 65256728']"
17,BP Poddar Institute of Management and Technology - BPPIMT - Courses,West Bengal,Kolkata,http://www.bppimt.ac.in,"137, VIP Road, Poddar Vihar, Kolkata, West Bengal 700052, India","['(033) 40619174, 40619175, 40619176']"
18,Brainware School of Information Technology - BSIT - Courses,West Bengal,Kolkata,https://targetstudy.com/university/238/punjab-technical-university/,"Y-8, Block-EP, Sector V, Salt Lake, Kolkata, West Bengal 700091, India",['(033) 40200819']
19,Brainware University,Universities in West Bengal,Universities in West Bengal,http://www.brainwareuniversity.ac.in/,"398, Ramkrishnapur Road, Near Jagadighata Market, Barasat, Kolkata, West Bengal 700124, India","['(033) 71445576 / ', ' 7044447723']"
20,Budge Budge Institute of Technology - BBIT - Courses,West Bengal,Kolkata,http://www.bbit.edu.in,"Nischintapur, Budge Budge, Kolkata, West Bengal 700137, India","['(033) 24820676 / ', ' 9433023972']"
21,Calcutta Institute of Engineering and Management - Courses,West Bengal,Kolkata,http://www.ciem.ac.in/,"24/1-A, Chandi Ghosh Road, Kolkata, West Bengal 700040, India","['(033) 24219951, 24218998 / ', ' 6289566429, 6289571783']"
22,Camellia School of Engineering and Technology - CSET - Courses,West Bengal,Kolkata,http://www.cset.org.in/,"Nadibag, P.O. Kajipara, Barasat, Kolkata, West Bengal 700124, India","['(033) 25844536 / ', ' 9007030136, 9007030106, 9007030130']"
