,College_Name,State,City,URL_,Address,Phone_Number
145,St. Joseph's Institute of Technology - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/264/anna-university-chennai/,"Old Mamallapuram Road, Semmancheri, Chennai, Tamil Nadu 600119, India",['(044) 24503132']
146,St. Louis College for the Deaf - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/301/university-of-madras/,"Canal Bank Road, Gandhi Nagar, Adyar, Chennai, Tamil Nadu 600020, India","['(044) 24421315 / ', ' 9025421313']"
147,St. Peter's College of Engineering and Technology - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/264/anna-university-chennai/,"College Road, Avadi, Chennai, Tamil Nadu 600054, India","[' 9791043355, 7358110157, 7358110158, 73581']"
148,St. Peter's Institute of Higher Education and Research,Universities in Tamil Nadu,Universities in Tamil Nadu,https://spiher.ac.in/,"Avadi, Chennai, Tamil Nadu 600054, India","['(044) 26555448, 26553720, 26553746 / ', ' 9445638085']"
149,St. Thomas College of Arts and Science - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/301/university-of-madras/,"140/6, AKR Road, St.Thomas Nagar, Koyambedu, Chennai, Tamil Nadu 600107, India","['(044) 24793069, 24797739']"
150,St. Xaviers Catholic College of Engineering (Autonomous) - Courses,Tamil Nadu,Chennai,http://www.sxcce.edu.in/,"Chunkankadi, Nagercoil, Chennai, Tamil Nadu 629003, India","['(04652) 259664, 227803, 224033, 237361']"
151,Stella Maris College (Autonomous) - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/301/university-of-madras/,"17, Cathedral Road, Chennai, Tamil Nadu 600086, India","['(044) 28111987, 28111951']"
152,Suverna International Institute of Management Studies - SIIMS - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/271/bharathiar-university/,"Prince Palace, Ettines Road, Ootacamund, Chennai, Tamil Nadu 643001, India","['(0423) 2452602, 2452609, 2441307']"
153,T.J. Institute of Technology - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/264/anna-university-chennai/,"Rajiv Gandhi Salai, (Old Mahabalipuram Road), Chennai, Tamil Nadu 600097, India","['(044) 29521952 / ', ' 9841114834']"
154,T.S. Narayanaswami College of Arts and Science - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/301/university-of-madras/,"Thalambur Road, off Old Mahabalipuram Road, Navalur, Chennai, Tamil Nadu 603103, India","['(044) 27435046, 27435047, 27435348']"
155,Tagore College of Arts and Science - Courses,Tamil Nadu,Chennai,,"Chromepet, Chennai, Tamil Nadu 600044, India","['(044) 22418061, 22411552']"
156,Tagore Engineering College - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/264/anna-university-chennai/,"Rathinamangalam, Vandalur (via), Chennai, Tamil Nadu 600127, India","['(044) 27409725, 27409726, 27409727, 27409728, 27409729']"
157,Tamil Nadu Arts and Science College - Courses,Tamil Nadu,Chennai,,"Adayalambattu, Chennai, Tamil Nadu 602102, India","['(044) 26533374, 29032662']"
158,Tamil Nadu Open University,Universities in Tamil Nadu,Universities in Tamil Nadu,http://www.tnou.ac.in,"No. 577, Anna Salai, Saidapet, Chennai, Tamil Nadu 600025, India",['(044) 24306600']
159,Thangavelu College of Science and Management - TCSM - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/301/university-of-madras/,"IT Highway, (Old Mahabalipuram Road), Karapakkam, Chennai, Tamil Nadu 600096, India","['(044) 24501408, 24501409 , 245010']"
160,Thangavelu Engineering College - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/264/anna-university-chennai/,"Rajiv Gandhi Salai (Old Mahabalipuram Road) Karapakkam, Chennai, Tamil Nadu 600097, India","['(044) 29521952 / ', ' 9841114834, 8939875566']"
161,The New College,Tamil Nadu,Chennai,https://thenewcollege.edu.in/,"New No. #147, Old No. #87, Peter's Road, Royapettah, Chennai, Tamil Nadu 600014, India","['(044) 28351269, 28350386']"
162,The New Royal College of Engineering and Technology - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/264/anna-university-chennai/,"East Coast Road Poonjeri Mahabalipuram, Chennai, Tamil Nadu 603104, India",['(044) 27443116']
163,Thiruthangal Nadar College - Courses,Tamil Nadu,Chennai,http://thiruthangalnadarcollege.org/,"Selavayal, Near Kaviarasu Kannadhasan Nagar Bus Terminus, Chennai, Tamil Nadu 600051, India","['(044) 25941717, 25942525']"
164,TMG College of Arts and Science - Courses,Tamil Nadu,Chennai,http://www.tmgcollege.edu.in/,"No. 85, Mudichur Road, At Manimangalam, Near Tambaram, Chennai, Tamil Nadu 601301, India","['(044) 65870619, 640550330 / ', ' 9444408047, 9445090963']"
165,University of Madras,Universities in Tamil Nadu,Universities in Tamil Nadu,http://www.unom.ac.in,"Navalar Nagar, Chepauk, Triplicane, Chennai, Tamil Nadu 600005, India","['(044) 25399422, 25399746']"
166,Valliammal College for Women - Courses,Tamil Nadu,Chennai,http://www.valliammal.edu.in/,"E- 9, Anna Nagar, Chennai, Tamil Nadu 600102, India",['(044) 26262816']
167,VEL High Tech Engineering College - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/264/anna-university-chennai/,"#60, Avadi - Vel Tech Road, Vel Nagar, Avadi, Chennai, Tamil Nadu 600062, India","['Toll Free No. (1800-212-7669) / ', ' 7358701998, 7358020151']"
168,Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/264/anna-university-chennai/,"#38 (Old 24), Santi Sudha, ABM Avenue, Raja Annamalaipuram, Chennai, Tamil Nadu 600028, India","['(044) 24334845, 24335828']"
169,Vel Tech Ranga Sanku Arts College - Courses,Tamil Nadu,Chennai,https://targetstudy.com/university/301/university-of-madras/,"#42, Avadi-Alamathi Road, Vellanur Post, Avadi, Chennai, Tamil Nadu 600062, India","['(Toll Free No. 1800-30706949) / ', ' 9176904389']"
