,Unnamed: 0,College_Name,State,City,URL_,Address,Phone_Number
5575,5575,SSM College of Engineering and Technology - Courses,Jammu and Kashmir,Baramula,https://targetstudy.com/university/121/university-of-kashmir/,"Parihaspora, Pattan, Baramula, Jammu and Kashmir 193121, India","[' 9419052496, 9906413186, 9697994705']"
5576,5576,SSN College of Engineering - Courses,Tamil Nadu,Kanchipuram,https://www.ssn.edu.in/college-of-engineering/,"Rajiv Gandhi Salai (OMR), Kalavakkam, Kanchipuram, Tamil Nadu 603110, India",['(044) 27469700']
5577,5577,SSPPD Mahavidyalaya - Courses,Uttar Pradesh,Mirzapur,https://targetstudy.com/university/16689/mahatma-gandhi-kashi-vidyapith/,"Tisuhi, Marihan, Mirzapur, Uttar Pradesh 231304, India","[' 8765239700, 9956776542, 9454272727']"
5578,5578,SSR Institute of Engineering and Technology - SSRIET - Courses,Telangana,Medak,https://targetstudy.com/university/31/jawaharlal-nehru-technological-university/,"Patelguda (Near BHEL) Patancheru, Medak, Telangana 502319, India","['(08455) 200338, 200339']"
5579,5579,SSS Engineering and Technology College - Courses,Punjab,Gurdaspur,https://targetstudy.com/university/238/punjab-technical-university/,"Hayat Nagar, Hardochanni Road, Gurdaspur, Punjab 143521, India",[' 9316093494']
5580,5580,SSS Institute of Management and Technology College - Courses,Punjab,Gurdaspur,https://targetstudy.com/university/238/punjab-technical-university/,"Hayat Nagar, Hardochhani Road, Gurdaspur, Punjab 143521, India",[' 9316093494']
5581,5581,SSVR Institute of Technology and Management - Courses,Uttar Pradesh,Mathura,,"20-C, Bank Colony, Geeta Enclave Krishna Nagar, Mathura, Uttar Pradesh 281001, India","['(0565) 420538, 3202010 / ', ' 8445762744, 8445764124']"
5582,5582,St Benedict's College - Courses,Karnataka,Bangalore,https://targetstudy.com/university/135/bangalore-university/,"Asirvanam, Anchepalya, Kumbalgodu Post, Bangalore, Karnataka 560074, India","['(080) 50506999 / ', ' 9148326177']"
5583,5583,St Francis de Sales College - SFS - Courses,Karnataka,Bangalore,https://targetstudy.com/university/135/bangalore-university/,"Electronics City Post, Bangalore, Karnataka 560100, India","[' 8088140679, 7022370051']"
5584,5584,St Mary's Syrian College - Courses,Karnataka,Udupi,https://targetstudy.com/university/142/mangalore-university/,"P.B. No. 1, Brahmavar, Udupi, Karnataka 576213, India",['(0820) 2561093']
5585,5585,St Patricks Degree and P.G. College - Courses,Telangana,Hyderabad,https://targetstudy.com/university/10/osmania-university/,"Nallakunta Main Road, Sumitra Sapandana Enclave, Padma Colony, New Nallakunta, Hyderabad, Telangana 500044, India",['(040) 27606189']
5586,5586,St Thomas Arts and Science College - Courses,Kerala,Ernakulam,http://www.stcpcz.in/,"Puthencruz, Ernakulam, Kerala 682308, India","['(0484) 2733552 / ', ' 7034443051']"
5587,5587,St. Agnes College (Autonomous) - Courses,Karnataka,Mangalore,https://targetstudy.com/university/142/mangalore-university/,"Bendur, Mangalore, Karnataka 575002, India","['(0824) 2218414, 2659042 / ', ' 8762659042']"
5588,5588,St. Albert's College - Courses,Kerala,Kochi,http://alberts.ac.in/,"Banerji Road, Kochi, Kerala 682018, India",['(0484) 2394225']
5589,5589,St. Aloysius College - Courses,Kerala,Alappuzha,https://targetstudy.com/university/165/mahatma-gandhi-university-kerala/,"Edathua, Alappuzha, Kerala 689573, India","['(0477) 2962262 / ', ' 9746965734']"
5590,5590,St. Aloysius College (Autonomous) - Courses,Karnataka,Mangalore,http://staloysius.edu.in/,"St. Aloysius College Road, Kodialbail, PB 720, Mangalore, Karnataka 575003, India","['(0824) 2449700, 2449701']"
5591,5591,St. Aloysius Day College - Courses,Karnataka,Mangalore,http://www.staloysius.edu.in/,"Light House Hill Road, Kodialbail, P.B. 720, Mangalore, Karnataka 575003, India","['(0824) 2449700, 2449701']"
5592,5592,St. Aloysius Institute of Management and Information Technology - AIMIT - Courses,Karnataka,Mangalore,https://targetstudy.com/university/142/mangalore-university/,"Kotekar Post, Madoor, Beeri, Mangalore, Karnataka 575022, India","['(0824) 2286881, 2286890, 2286889']"
5593,5593,"St. Andrew's College of Arts, Science and Commerce - Courses",Maharashtra,Mumbai,https://targetstudy.com/university/194/university-of-mumbai/,"St. Dominic Road, Bandra (West), Mumbai, Maharashtra 400050, India","['\n', ' ']"
5594,5594,St. Ann's College for Women - Courses,Telangana,Hyderabad,https://targetstudy.com/university/10/osmania-university/,"Mehdipatnam, Hyderabad, Telangana 500028, India","['(040) 23513020, 23517919']"
5595,5595,St. Ann's College of Education - Courses,Karnataka,Mangalore,https://targetstudy.com/university/142/mangalore-university/,"Opposite Head Post Office Rosario Church Road, Mangalore, Karnataka 575001, India","['(0824) 2427360, 2444047']"
5596,5596,St. Ann's College of Engineering and Technology - Courses,Andhra Pradesh,Prakasam,http://www.sacet.ac.in/,"Nayunipalli Village, Challa Reddy Palem Post, Vetapalem Mandal, Chirala, Prakasam, Andhra Pradesh 523187, India","['(08594) 247500, 246100, 246102, 202401, 202402 / ', ' 9951042888']"
5597,5597,St. Ann's Degree College for Women - Courses,Andhra Pradesh,Guntur,https://targetstudy.com/university/4/acharya-nagarjuna-university/,"Gorantla, Guntur, Andhra Pradesh 522035, India","['(0863) 2236470, 2254224']"
5598,5598,St. Anne's Degree College - Courses,Karnataka,Virajpet,https://targetstudy.com/university/142/mangalore-university/,"Murnad Road, Virajpet, Kodagu District, Virajpet, Karnataka 571218, India","['(08274) 257622 / ', ' 9448037928']"
5599,5599,St. Anne's Degree College for Women - Courses,Karnataka,Bangalore,https://www.stannescollege.in/,"#23, Cambridge Road, Halasuru, Bangalore, Karnataka 560008, India",['(080) 25544454']
