,LineItem Name,Total Order
2469,Vmax HX 750 Remote Control Flying Drone No Camera,53
2470,JBL EARPHONE POUCH BLACK,25
2471,MitSonic 16 inches (40cm) FULL HD Gorilla Glass LED TV,3
2476,Y0-100 Wireless Mouse,2
2495,Sony MDR-EX250AP In-Ear Headphones with Mic (Black),2
2499,Zebronics BH330 Bluetooth Headphones,4
2508,Train With Track light music battery operated train toy,1
2519,Bulldozer Hercules Power Driving Super Truck (Yellow),1
2520,Inteligent cute white tom cat with touch recording story & music,1
2521,Super Aeroplanist Power Aeroplane Wired Rotating Plane,2
2524,Home Nursing Service,1
2527,Chicken Biryani Plate(Chennai),1
2588,YoShops Multi Pin Cable 4in1,3
2659,HX 750 Remote Control Flying Drone No Camera,30
2693,VMax Vision HX763 Drone Remote Control Quadrocopter,2
2730,1KG Chicken Biryani,4
2736,Funny Bricks and Blocks Set,1
2738,MitSonic 16 inches (40cm) FULL HD LED TV,2
2739,MitSonic 20 Inches (53 cm) FULL HD LED TV,1
2752,MitSonic 16 inches (40cm) LED TV,1
2764,Bose Earphone With Pouch Black,1
2777,MitSonic MT2001 20 Inches (53cm) FULL HD LED Television,3
2778,HX 750 Remote Control Flying Drone,23
2797,Mushrooms Button 250 gm,1
2806,Auto ePass 2003 FIPS USB Token,6
2822,"BOSE Sound True SQ2 Headphones (White,Black,Red)",8
2824,Casio DR-140TM Printing Calculator,1
2830,Sandisk 16 GB Utility Pendrive -Black,2
2835,Preethi SPICE 550W 3 JAR MIXER GRINDER,1
2836,PREETHI GALAXY 750 WATTS MIXER GRINDER (PINK),2
2843,MitSonic MT2001 53cm (20) FULL HD LED Television,1
2844,Sony AS210 Sports In-ear Headphones,1
2851,Flying Helicopter With Remote Control Toy,4
2858,Zebronics Blue Bird Bluetooth Earphones,3
2861,"JBL C100SI Wired Headphones (Black,Red,White)",15
2869,Bubly Belly Matic SS Pressure Cooker,1
2871,Barbie Doll,2
2873,VR BOX 2.0,5
2875,Samsung Universal Mobile Charger USB Power Wall Adapter,4
2877,Wedding Dolls,1
2890,Flying Helicopter With Remote Control,1
2905,"BOSE Sound True SQ2  Headphones (White,Black,Red)",25
2913,SAMSUNG Travel Adapter EP-TA13IWEUGIN White Battery Charger (White),1
2914,Zebion Ergo Wireless Slim Fit G1600 Keyboard and Mouse,3
2915,Organic Raw Honey 250Gms,1
2916,YO Earpods With Mic Compatible with Apple Phone,4
2920,Yo145 OTG Cable ,2
2922,Rosra Black Analog Watch,3
2923,QUECHUA  Laptop Bag,5
2926,"Wireless Mouse,Multi Charger, Universal Adaptor,Head Phone with Mic,Laptop Led Light ",1
2927,Mutton Biriyani,1
2928,1KG  Chicken Biryani,2
2931,Yo 400  Wire Less Headphones (Bluetooth ),1
2934, Zebronics Wireless Optical Mouse,5
2935,Movers Packer Service,1
2942,Computer Repair Services,1
2943,Micromax Canvas Lapbook,1
2946,Designer Gown By ZARA,1
2947,Zebronics 2400 mAh Power Bank - White,1
2948,"Philip SHQ2305WS  Wired Headphones  (Black,White)",1
2963,"JBL C100SI Wired Headphones (Black,Red,White,Blue)",3
2979,"JBL C100SI Wired Headphones (Black, In the Ear)",6
2982,I Kall K-66 White,7
2985,"Philip SHQ2305WS  Wired Headphones  (Black, In the Ear)",1
2991,Bose Sound True SQ2 Noise Cancelling Headphones ,4
2996,YO- Earphones With Mic White,1
2998,Bose Quiet Comfort 20 Acoustic Noise Cancelling Headphones (Black) ,6
3003,AmbranePowerBank P-1310,2
3004,Lenovo IdeaPad 100S-11 11.6-inch Laptop ,1
3005,iBall Excelance CompBook 11.6-inch Laptop,5
3007,Ear Wired Earphones With Mic White,11
3019,Electric Steam Cooker Maestro MC1,5
3020,"AmbranePowerBank P-1111(white,Blue)",1
3022,Samsung-Metro-350-White,1
